,lat,lon,timestamp,amenity,name,tags
6498,49.2857079,-123.1269916,2019-09-13T13:56:58.000-07:00,restaurant,Blossom Dim Sum & Grill,N/A
6499,49.2829671,-123.1105765,2018-10-26T20:30:24.000-07:00,restaurant,La Taqueria,['mexican']
6501,49.2541597,-123.1150037,2015-08-12T20:39:01.000-07:00,restaurant,Sushi 7 Japanese Bar & Grill,['japanese']
6502,49.2542649,-123.1150049,2015-08-13T02:06:57.000-07:00,restaurant,Soho Tea Room,['chinese']
6510,49.2602981,-123.0700119,2020-04-05T09:13:49.000-07:00,restaurant,Jamaican Pizza Jerk,['jamaican']
6511,49.2598808,-123.0700269,2019-07-17T21:24:14.000-07:00,restaurant,Varadero Cafe,['cuban']
6528,49.1155779,-122.6794924,2019-09-02T22:08:29.000-07:00,restaurant,An Indian Affair,"['indian', 'buffet']"
6550,49.2519331,-123.0803514,2019-06-28T20:22:35.000-07:00,restaurant,Kingsway Deli,"['sandwich', ' vietnamese']"
6551,49.2683379,-123.069464,2019-06-29T13:56:36.000-07:00,restaurant,Cannibal Café,N/A
6569,49.182898,-123.0918212,2019-07-01T06:29:42.000-07:00,restaurant,L.A. Chicken,['fried_chicken']
6570,49.2809572,-123.0612347,2019-07-01T06:29:42.000-07:00,restaurant,Vietnam House,['vietnamese']
6585,49.2850854,-123.125921,2019-10-18T16:31:54.000-07:00,restaurant,Zefferelli's Spaghetti Joint,N/A
6587,49.1946138,-122.9278485,2017-09-19T05:23:35.000-07:00,restaurant,Rozzini's,['italian']
6594,49.2805525,-123.1020447,2018-06-20T15:09:56.000-07:00,restaurant,Bestie,['german']
6598,49.1797321,-123.1377358,2018-06-20T15:11:57.000-07:00,restaurant,HK B.B.Q. Master,['chinese']
6603,49.0326388,-122.801449,2017-06-10T12:33:20.000-07:00,restaurant,White Spot,['regional']
6616,49.2804382,-123.1181035,2019-10-26T22:49:09.000-07:00,restaurant,Tractor,['sandwich']
6617,49.2328711,-123.0657264,2019-09-13T13:57:02.000-07:00,restaurant,Kokoro Ramen,N/A
6627,49.277417,-122.8047731,2014-09-03T19:51:37.000-07:00,restaurant,Bengali Indian,['indian']
6636,49.2369689,-122.8704334,2019-09-13T13:57:03.000-07:00,restaurant,That Place 4 Pasta & Pizza,N/A
6640,49.1806432,-123.1600445,2017-08-26T17:17:03.000-07:00,restaurant,Sushi Cafe,['sushi']
6660,49.2684715,-123.1853203,2019-09-13T13:57:03.000-07:00,restaurant,Irori Sushi,N/A
6661,49.26844,-123.1821901,2019-09-13T13:57:03.000-07:00,restaurant,Double DD Pizza,N/A
6663,49.2682499,-123.1690466,2019-09-13T13:57:03.000-07:00,restaurant,Linh Café,N/A
6664,49.2682482,-123.1687786,2019-09-13T13:57:03.000-07:00,restaurant,Raviolino,N/A
6666,49.2682325,-123.1667687,2019-09-13T13:57:03.000-07:00,restaurant,Healthy Noodle House,N/A
6667,49.2579533,-123.1678222,2019-09-13T13:57:03.000-07:00,restaurant,Zest Japanese Cuisine,N/A
6669,49.2487723,-123.1853877,2017-08-28T08:07:38.000-07:00,restaurant,Stong's Replenish Cafe,N/A
6670,49.2483679,-123.1850471,2019-09-13T13:57:03.000-07:00,restaurant,Wild Sushi,N/A
6671,49.2465989,-123.1854074,2019-09-13T13:57:03.000-07:00,restaurant,Cosy Inn Cafe,N/A
6672,49.2462956,-123.1853981,2019-09-13T13:57:03.000-07:00,restaurant,The Dunbar Public House,N/A
6674,49.2454947,-123.1854457,2019-09-13T13:57:03.000-07:00,restaurant,The Cheshire Cheese Inn,N/A
6676,49.2466537,-123.1848644,2019-09-13T13:57:03.000-07:00,restaurant,Riya's Pizza,N/A
6677,49.2469916,-123.1850629,2019-09-13T13:57:03.000-07:00,restaurant,Sushi Inn,N/A
6678,49.2469076,-123.1850629,2019-09-13T13:57:03.000-07:00,restaurant,Mexicali,N/A
6701,49.2206635,-122.9772718,2016-07-22T02:50:59.000-07:00,restaurant,The One,['taiwanese']
6702,49.218898,-122.9684877,2012-07-03T02:51:23.000-07:00,restaurant,Vassillis Souvlaki Greek Taverna,['greek']
6705,49.0554367,-122.3163275,2019-09-02T22:08:25.000-07:00,restaurant,Spice Kitchen The Indian Palette,N/A
6745,49.266479,-123.1386694,2019-09-13T13:56:58.000-07:00,restaurant,Cheesecake etc.,N/A
6760,49.0456065,-122.3622896,2019-09-13T13:57:02.000-07:00,restaurant,Tony's Place Restaurant,"['burger', 'italian']"
6768,49.1320952,-123.0991925,2017-06-07T00:24:59.000-07:00,restaurant,Cora Breakfast and Lunch,N/A
6780,49.0578657,-122.4704514,2017-06-07T02:31:24.000-07:00,restaurant,Schnitzelz,['pizza']
6905,49.3122034,-123.0789593,2017-06-09T09:05:40.000-07:00,restaurant,Buddha-full,N/A
6910,49.2349593,-123.0371824,2019-09-13T13:57:03.000-07:00,restaurant,Jambo Grill,N/A
6911,49.1919591,-122.798649,2018-06-20T15:13:12.000-07:00,restaurant,Fresh Restaurant & Lounge,['regional']
6913,49.2913001,-123.1348958,2019-09-13T13:57:03.000-07:00,restaurant,Saku,N/A
6914,49.2861996,-123.1264976,2019-09-13T13:57:03.000-07:00,restaurant,Damso,N/A
6915,49.2786259,-123.1160142,2019-09-18T23:00:49.000-07:00,restaurant,Original Joe's,['burger']
6916,49.2786063,-123.1168579,2019-09-13T13:57:03.000-07:00,restaurant,Patisserie Fur Elise,N/A
6928,49.1757495,-122.8017102,2019-09-13T13:57:03.000-07:00,restaurant,Greek Islands Restaurant,['greek']
6930,49.3130233,-123.0771441,2017-12-29T11:14:29.000-08:00,restaurant,Table153,N/A
6959,49.1030203,-122.652826,2019-12-15T03:09:11.000-08:00,restaurant,Ban Chok Dee,['thai']
6960,49.1022122,-122.660072,2017-05-01T04:08:44.000-07:00,restaurant,Langley Vietnamese Cuisine,['vietnamese']
6963,49.1995895,-122.9125081,2017-05-01T04:25:26.000-07:00,restaurant,The Boathouse,['seafood']
6965,49.2643156,-123.1741704,2017-05-01T13:19:17.000-07:00,restaurant,Kitstaya Sushi,['sushi']
6982,49.2246246,-122.9882078,2019-09-13T13:57:05.000-07:00,restaurant,MeetRice Noodles,N/A
6984,49.2685203,-123.1706945,2019-03-23T23:43:49.000-07:00,restaurant,Bangkok City Cafe,['thai']
6985,49.2685192,-123.1706435,2019-03-23T23:43:49.000-07:00,restaurant,Nishi Restaurant,['japanese']
6988,49.2630491,-123.1124051,2019-07-17T21:24:14.000-07:00,restaurant,Heritage Asian Eatery,['asian']
7095,49.288481,-123.139744,2019-07-12T21:01:55.000-07:00,restaurant,Gillaneh Restaurant,N/A
7127,49.2575621,-123.1148455,2019-09-24T12:07:45.000-07:00,restaurant,Vij's,N/A
7131,49.2781965,-123.1133537,2020-01-04T17:30:18.000-08:00,restaurant,Frankie’s Italian Kitchen & Bar,['italian']
7132,49.2762561,-123.1155406,2020-03-08T01:43:36.000-08:00,restaurant,Pho Khanh,['vietnamese']
7144,49.2623234,-123.0912759,2019-09-13T13:56:58.000-07:00,restaurant,Sushi Loku,['japanese']
7151,49.0406919,-122.2198824,2015-09-28T06:04:16.000-07:00,restaurant,HIKO SUSHI,['sushi']
7157,49.0373851,-122.2303484,2019-09-02T22:08:26.000-07:00,restaurant,Maru Sushi MK,N/A
7160,49.2828886,-123.12373,2019-10-09T04:04:04.000-07:00,restaurant,Boulevard Kitchen & Oyster Bar,N/A
7165,49.2842663,-123.1144275,2015-09-30T00:57:35.000-07:00,restaurant,Gyoza Bar,N/A
7186,49.1043112,-122.734369,2017-02-13T22:16:48.000-08:00,restaurant,Sushi King,['sushi']
7212,49.242659,-123.004039,2018-02-05T21:24:50.000-08:00,restaurant,Sushi S,['japanese']
7214,49.1493324,-123.1824756,2016-11-11T01:15:48.000-08:00,restaurant,Takeya Sushi,['sushi']
7215,49.285769,-123.1247049,2019-09-13T13:56:49.000-07:00,restaurant,Neptune Chinese Kitchen,['chinese']
7217,49.2856601,-123.1210867,2019-10-09T04:04:04.000-07:00,restaurant,Victoria Chinese Restaurant,['chinese']
7219,49.2821447,-123.1337057,2020-03-14T19:34:44.000-07:00,restaurant,Davie Dosa Company,['indian']
7221,49.2819972,-123.1334555,2019-03-22T02:51:05.000-07:00,restaurant,Downtown Sushi Bar,['sushi']
7226,49.2818284,-123.1336764,2020-03-14T19:34:44.000-07:00,restaurant,Al Basha,['kebab']
7289,49.2707223,-122.7551988,2018-05-21T00:18:31.000-07:00,restaurant,Pho Noodle House,N/A
7337,49.2751036,-122.7909773,2019-07-29T07:37:17.000-07:00,restaurant,Hon's,['chinese']
7338,49.27778,-122.7946533,2019-03-30T01:10:50.000-07:00,restaurant,,['thai']
7339,49.2706614,-123.069379,2019-03-30T04:11:12.000-07:00,restaurant,The Ugly Dumpling,N/A
7350,49.2722284,-123.1551219,2019-06-08T22:28:48.000-07:00,restaurant,Nook,['italian']
7351,49.271079,-123.15519,2019-03-31T02:36:34.000-07:00,restaurant,Lucky Taco,['mexican']
7368,49.2627174,-123.1000189,2020-01-20T20:26:25.000-08:00,restaurant,Freshii,['salad']
7371,49.2708993,-123.0697877,2019-12-25T01:10:37.000-08:00,restaurant,Arriva Ristorante,N/A
7383,49.0904674,-123.0790855,2017-10-21T21:55:45.000-07:00,restaurant,Ricky's,N/A
7387,49.3148698,-123.1010855,2019-09-07T06:22:09.000-07:00,restaurant,Yangmara,"['asian', 'Taiwanese', 'Bubble_Tea']"
7389,49.3210825,-123.0956321,2019-09-23T15:35:32.000-07:00,restaurant,Cora,['breakfast']
7393,49.2630349,-123.1012046,2020-06-23T20:58:12.000-07:00,restaurant,Bento Box,['japanese']
7394,49.2629465,-123.0967703,2019-09-13T13:56:49.000-07:00,restaurant,Thai Son,['asian']
7396,49.2635921,-123.1015666,2019-03-25T04:12:04.000-07:00,restaurant,Nice Cafe,N/A
7397,49.2621476,-123.1007434,2019-08-28T06:52:48.000-07:00,restaurant,Ignite Pizzeria,N/A
7402,49.256651,-123.101744,2013-01-16T05:16:11.000-08:00,restaurant,Toshi,['sushi']
7403,49.2558002,-123.1015599,2011-01-31T01:47:23.000-08:00,restaurant,Public House,N/A
7404,49.254976,-123.1008716,2019-03-22T02:49:14.000-07:00,restaurant,Anh And Chi,['vietnamese']
7405,49.255527,-123.101061,2019-09-02T22:08:25.000-07:00,restaurant,Nikkyu Japanese Restaurant,['japanese']
7408,49.2777282,-123.0971626,2020-05-28T02:56:09.000-07:00,restaurant,Hunnybee Bruncheonette,N/A
7423,49.0572555,-122.8016604,2014-01-13T17:13:48.000-08:00,restaurant,Nandos Chicken,['chicken']
7425,49.1266442,-123.1818811,2019-03-18T07:54:32.000-07:00,restaurant,Damien's Belgian Waffles,N/A
7426,49.1637059,-122.6604812,2020-02-11T02:31:22.000-08:00,restaurant,Denny's,['american']
7428,49.2457056,-123.0659163,2018-12-10T09:01:31.000-08:00,restaurant,Green Lettuce,['Indian_style_Chinese']
7444,49.1320149,-122.3222546,2019-05-10T04:42:42.000-07:00,restaurant,Mission Hills Sushi,N/A
7491,49.263541,-123.1451004,2020-06-20T19:05:52.000-07:00,restaurant,Happy Lamp Hot Pot,N/A
7557,49.2617269,-123.2555515,2018-08-23T02:24:07.000-07:00,restaurant,Point Grill,['american']
7629,49.2783793,-123.0981941,2018-02-10T16:17:35.000-08:00,restaurant,Phnom Penh Restaurant,"['Cambodian', 'Vietnamese']"
7644,49.1292754,-122.3206734,2019-09-02T22:08:26.000-07:00,restaurant,Mr Mikes Steakhouse & Bar,['steak_house']
7646,49.2534133,-123.0820889,2019-07-17T21:24:14.000-07:00,restaurant,Ken's Kitchen,['chinese']
7650,49.2680554,-123.155833,2019-02-01T06:33:26.000-08:00,restaurant,Simpatico,['greek']
7654,49.2681152,-123.1595834,2019-03-23T19:23:33.000-07:00,restaurant,Peaceful Restaurant,['chinese']
7658,49.2681046,-123.1582908,2019-09-02T22:08:26.000-07:00,restaurant,Raisu,['japanese']
7661,49.2681518,-123.1463206,2019-08-29T18:31:06.000-07:00,restaurant,Pizza Hut,['pizza']
7662,49.2680758,-123.1569876,2016-02-07T00:08:11.000-08:00,restaurant,Au Comptoir,N/A
